AleksandrówKujawski 51.8196533 19.3035375 AleksandrówŁódzki 51.8196533 19.3035375 124608
AleksandrówKujawski 50.0690434 19.5396737 Alwernia 50.0690434 19.5396737 317626
AleksandrówKujawski 49.8555791 19.3436756 Andrychów 49.8555791 19.3436756 338930
AleksandrówKujawski 50.8851655 21.8550836 Annopol 50.8851655 21.8550836 309981
AleksandrówKujawski 53.8437331 22.9802357 Augustów 53.8437331 22.9802357 304051
AleksandrówKujawski 52.165312 15.8285175 Babimost 52.165312 15.8285175 209340
AleksandrówKujawski 50.1563566 17.9859393 Baborów 50.1563566 17.9859393 306404
AleksandrówKujawski 50.4994982 21.5417887 BaranówSandomierski 50.4994982 21.5417887 329203
AleksandrówKujawski 52.8632346 17.9472463 Barcin 52.8632346 17.9472463 50115
AleksandrówŁódzki 50.0690434 19.5396737 Alwernia 50.0690434 19.5396737 195360
AleksandrówŁódzki 49.8555791 19.3436756 Andrychów 49.8555791 19.3436756 218413
AleksandrówŁódzki 50.8851655 21.8550836 Annopol 50.8851655 21.8550836 205394
AleksandrówŁódzki 53.8437331 22.9802357 Augustów 53.8437331 22.9802357 334082
AleksandrówŁódzki 52.165312 15.8285175 Babimost 52.165312 15.8285175 240994
AleksandrówŁódzki 50.1563566 17.9859393 Baborów 50.1563566 17.9859393 206661
AleksandrówŁódzki 50.4994982 21.5417887 BaranówSandomierski 50.4994982 21.5417887 214252
AleksandrówŁódzki 52.8632346 17.9472463 Barcin 52.8632346 17.9472463 148167
Alwernia 49.8555791 19.3436756 Andrychów 49.8555791 19.3436756 27567
Alwernia 50.8851655 21.8550836 Annopol 50.8851655 21.8550836 187286
Alwernia 53.8437331 22.9802357 Augustów 53.8437331 22.9802357 481276
Alwernia 52.165312 15.8285175 Babimost 52.165312 15.8285175 348394
Alwernia 50.1563566 17.9859393 Baborów 50.1563566 17.9859393 111215
Alwernia 50.4994982 21.5417887 BaranówSandomierski 50.4994982 21.5417887 150084
Alwernia 52.8632346 17.9472463 Barcin 52.8632346 17.9472463 329679
Andrychów 50.8851655 21.8550836 Annopol 50.8851655 21.8550836 211718
Andrychów 53.8437331 22.9802357 Augustów 53.8437331 22.9802357 508815
Andrychów 52.165312 15.8285175 Babimost 52.165312 15.8285175 355506
Andrychów 50.1563566 17.9859393 Baborów 50.1563566 17.9859393 102632
Andrychów 50.4994982 21.5417887 BaranówSandomierski 50.4994982 21.5417887 172118
Andrychów 52.8632346 17.9472463 Barcin 52.8632346 17.9472463 348190
Annopol 53.8437331 22.9802357 Augustów 53.8437331 22.9802357 337720
Annopol 52.165312 15.8285175 Babimost 52.165312 15.8285175 440402
Annopol 50.1563566 17.9859393 Baborów 50.1563566 17.9859393 285252
Annopol 50.4994982 21.5417887 BaranówSandomierski 50.4994982 21.5417887 48229
Annopol 52.8632346 17.9472463 Barcin 52.8632346 17.9472463 346830
Augustów 52.165312 15.8285175 Babimost 52.165312 15.8285175 513355
Augustów 50.1563566 17.9859393 Baborów 50.1563566 17.9859393 533598
Augustów 50.4994982 21.5417887 BaranówSandomierski 50.4994982 21.5417887 384561
Augustów 52.8632346 17.9472463 Barcin 52.8632346 17.9472463 351289
Babimost 50.1563566 17.9859393 Baborów 50.1563566 17.9859393 269297
Babimost 50.4994982 21.5417887 BaranówSandomierski 50.4994982 21.5417887 437858
Babimost 52.8632346 17.9472463 Barcin 52.8632346 17.9472463 163019
Baborów 50.4994982 21.5417887 BaranówSandomierski 50.4994982 21.5417887 255257
Baborów 52.8632346 17.9472463 Barcin 52.8632346 17.9472463 301003
BaranówSandomierski 52.8632346 17.9472463 Barcin 52.8632346 17.9472463 361160
